






(-75.14403, 39.94733),  0
(-75.14973, 39.98082),  4 0.17391304
(-75.15993, 39.94517),	1 0.04347826
(-75.16374, 39.95378),  2 0.08695652
(-75.16618,	39.94711),  5 0.2173913
(-75.17369, 39.95886),  6 0.26086957
(-75.1775, 39.94217),  	2 0.08695652
(-75.18982, 39.95576),	3 0.13043478
(-75.19701,	39.96046),	1 0.17291304
(-75.20311, 39.9522),	9 0.39130435
